latitude,longitude
22.35166,113.88241
22.28091,114.08039
22.23875,114.15465
22.30279485473,114.23952293015
22.464175966544,114.19543843306
22.27512,114.14805
22.33049,114.27988
22.18874,114.22888
22.23874,114.23062
22.36409,114.17465
22.30457,114.22425
22.39925,114.06899
22.21327,114.26275
22.21929,114.22379
22.44944,114.07117
22.36022,113.98219
22.32756,114.13763
22.27099,114.08825
22.33867,113.8876
22.36333,114.1074
22.354334655566,114.10324158843
22.51501,114.16298
22.46739,114.31096
22.36893,114.21019
22.25369,114.21976
22.37819,114.20518
22.37753,114.07777
22.4557,114.12794
22.48807,114.10894
22.44683,114.26467
22.23707,114.04178
22.370281442408,114.1168983852
22.2144,114.25014
22.42766,114.15634
22.2509,114.20957
22.36496,113.97844
22.38517,114.28235
22.31309,114.21422
22.39001,114.27757
22.41217,114.20921
22.28074,114.22585
22.37379,114.29453
22.28633,114.24556
22.36443,114.09215
22.27644,114.05465
22.4167,114.13058
22.54205,114.14675
22.27111,114.05757
22.40921,114.188
22.42358,114.17508
22.36323,114.08611
22.43191,114.20045
22.44936,114.18724
22.23744,114.23514
22.48748,114.24
22.43265,114.2803
22.25947,114.08485
22.4695,114.32173
22.40632,114.02824
22.34393,114.2598
22.281359023639,114.18236378223
22.42674,114.07802
22.38431,114.21998
22.30606,114.34961
22.41027,114.14161
22.46788,114.17599
22.36422,114.10929
22.25628,114.16129
22.24653,114.20904
22.42452,114.35393
22.23763,114.13768
22.40793,114.08623
22.37092,114.24148
22.39385,114.22105
22.34057,114.27709
22.36208,114.19211
22.20891,114.12607
22.35429,114.05594
22.38932,114.02252
22.32824,114.23935
22.324416075832,114.16045349862
22.24456,114.20824
22.30835,114.13795
22.42357,114.14054
22.46142,114.13859
22.23729,114.11583
22.35781,114.27454
22.22,114.3008
22.335961603225,114.14075630992
22.25079,114.20324
22.395890380416,113.97599073623
22.44936,114.08994
22.4651,114.17761
22.27104,114.12223
22.1998471,114.1390145
22.32091,114.22116
22.40385,114.10862
22.1948119,113.9869936
22.2325,114.11061
22.32945,114.29739
22.28729,114.08733
22.1847869,114.1294008
22.19606,114.19203
22.31096,114.01959
22.17214,114.19708
22.291326106931,114.2063061135
22.44282,114.12436
22.2623,114.31788
22.52658,114.22285
22.23428,114.26495
22.252629072556,114.13612067666
22.53079,114.21915
22.18842,114.28286
22.3976,114.25736
22.33627,114.1221
22.42011,114.26186
22.41178,114.04881
22.35929,114.13764
22.35166,114.05083
22.28659,114.087
22.28596,114.28922
22.26159,114.09976
22.21929,114.12664
22.2879,114.13651
22.36424,114.19699
22.31595,114.26963
22.35141,114.27068
22.42741,114.1886
22.32291,114.09518
22.3707,114.12866
22.54634,114.21579
22.23368,114.14474
22.25983,114.20493
22.44699,114.1254
22.28349,114.06389
22.32139,113.92311
22.25821,114.3469
22.1874,114.17605
22.22,114.10651
22.26793,114.25515
22.24741,114.13901
22.3702,114.08361
22.25513,114.19334
22.44527,114.17689
22.33133,114.08735
